time,vx, vy, vtheta
7.63,-1.1376,0,0
7.64,-1.1328,0,0
7.65,-1.128,0,0
7.66,-1.1232,0,0
7.67,-1.1184,0,0
7.68,-1.1136,0,0
7.69,-1.1088,0,0
7.7,-1.104,0,0
7.71,-1.0992,0,0
7.72,-1.0944,0,0
7.73,-1.0896,0,0
7.74,-1.0848,0,0
7.75,-1.08,0,0
7.76,-1.0752,0,0
7.77,-1.0704,0,0
7.78,-1.0656,0,0
7.79,-1.0608,0,0
7.8,-1.056,0,0
7.81,-1.0512,0,0
7.82,-1.0464,0,0
7.83,-1.0416,0,0
7.84,-1.0368,0,0
7.85,-1.032,0,0
7.86,-1.0272,0,0
7.87,-1.0224,0,0
7.88,-1.0176,0,0
7.89,-1.0128,0,0
7.9,-1.008,0,0
7.91,-1.0032,0,0
7.92,-0.9984,0,0
7.93,-0.9936,0,0
7.94,-0.9888,0,0
7.95,-0.984,0,0
7.96,-0.9792,0,0
7.97,-0.9744,0,0
7.98,-0.9696,0,0
7.99,-0.9648,0,0
8,-0.96,0,0
8.01,-0.9552,0,0
8.02,-0.9504,0,0
8.03,-0.9456,0,0
8.04,-0.9408,0,0
8.05,-0.936,0,0
8.06,-0.9312,0,0
8.07,-0.9264,0,0
8.08,-0.9216,0,0
8.09,-0.9168,0,0
8.1,-0.912,0,0
8.11,-0.9072,0,0
8.12,-0.9024,0,0
8.13,-0.8976,0,0
8.14,-0.8928,0,0
8.15,-0.888,0,0
8.16,-0.8832,0,0
8.17,-0.8784,0,0
8.18,-0.8736,0,0
8.19,-0.8688,0,0
8.2,-0.864,0,0
8.21,-0.8592,0,0
8.22,-0.8544,0,0
8.23,-0.8496,0,0
8.24,-0.8448,0,0
8.25,-0.84,0,0
8.26,-0.8352,0,0
8.27,-0.8304,0,0
8.28,-0.8256,0,0
8.29,-0.8208,0,0
8.3,-0.816,0,0
8.31,-0.8112,0,0
8.32,-0.8064,0,0
8.33,-0.8016,0,0
8.34,-0.7968,0,0
8.35,-0.792,0,0
8.36,-0.7872,0,0
8.37,-0.7824,0,0
8.38,-0.7776,0,0
8.39,-0.7728,0,0
8.4,-0.768,0,0
8.41,-0.7632,0,0
8.42,-0.7584,0,0
8.43,-0.7536,0,0
8.44,-0.7488,0,0
8.45,-0.744,0,0
8.46,-0.7392,0,0
8.47,-0.7344,0,0
8.48,-0.7296,0,0
8.49,-0.7248,0,0
8.5,-0.72,0,0
8.51,-0.7152,0,0
8.52,-0.7104,0,0
8.53,-0.7056,0,0
8.54,-0.7008,0,0
8.55,-0.696,0,0
8.56,-0.6912,0,0
8.57,-0.6864,0,0
8.58,-0.6816,0,0
8.59,-0.6768,0,0
8.6,-0.672,0,0
8.61,-0.6672,0,0
8.62,-0.6624,0,0
8.63,-0.6576,0,0
8.64,-0.6528,0,0
8.65,-0.648,0,0
8.66,-0.6432,0,0
8.67,-0.6384,0,0
8.68,-0.6336,0,0
8.69,-0.6288,0,0
8.7,-0.624,0,0
8.71,-0.6192,0,0
8.72,-0.6144,0,0
8.73,-0.6096,0,0
8.74,-0.6048,0,0
8.75,-0.6,0,0
8.76,-0.5952,0,0
8.77,-0.5904,0,0
8.78,-0.5856,0,0
8.79,-0.5808,0,0
8.8,-0.576,0,0
8.81,-0.5712,0,0
8.82,-0.5664,0,0
8.83,-0.5616,0,0
8.84,-0.5568,0,0
8.85,-0.552,0,0
8.86,-0.5472,0,0
8.87,-0.5424,0,0
8.88,-0.5376,0,0
8.89,-0.5328,0,0
8.9,-0.528,0,0
8.91,-0.5232,0,0
8.92,-0.5184,0,0
8.93,-0.5136,0,0
8.94,-0.5088,0,0
8.95,-0.504,0,0
8.96,-0.4992,0,0
8.97,-0.4944,0,0
8.98,-0.4896,0,0
8.99,-0.4848,0,0
9,-0.48,0,0
9.01,-0.4752,0,0
9.02,-0.4704,0,0
9.03,-0.4656,0,0
9.04,-0.4608,0,0
9.05,-0.456,0,0
9.06,-0.4512,0,0
9.07,-0.4464,0,0
9.08,-0.4416,0,0
9.09,-0.4368,0,0
9.1,-0.432,0,0
9.11,-0.4272,0,0
